	Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	detection/no-detection
0	00:00:00.000	0.00	00:00:36.000	36.00	00:00:36.000	36.00	detection
1	00:00:42.000	42.00	00:00:47.000	47.00	00:00:47.000	47.00	detection
2	00:00:56.000	56.00	00:00:58.000	58.00	00:00:58.000	58.00	detection
3	00:01:02.000	62.00	00:01:05.000	65.00	00:01:05.000	65.00	detection
4	00:01:29.000	89.00	00:01:34.000	94.00	00:01:34.000	94.00	detection
5	00:01:39.000	99.00	00:01:59.000	119.00	00:01:59.000	119.00	detection
6	00:02:00.000	120.00	00:02:36.000	156.00	00:02:36.000	156.00	detection
7	00:02:42.000	162.00	00:02:47.000	167.00	00:02:47.000	167.00	detection
8	00:02:56.000	176.00	00:02:58.000	178.00	00:02:58.000	178.00	detection
9	00:03:02.000	182.00	00:03:05.000	185.00	00:03:05.000	185.00	detection
10	00:03:29.000	209.00	00:03:34.000	214.00	00:03:34.000	214.00	detection
11	00:03:39.000	219.00	00:03:59.000	239.00	00:03:59.000	239.00	detection
12	00:04:00.000	240.00	00:04:36.000	276.00	00:04:36.000	276.00	detection
13	00:04:42.000	282.00	00:04:47.000	287.00	00:04:47.000	287.00	detection
14	00:04:56.000	296.00	00:04:58.000	298.00	00:04:58.000	298.00	detection
15	00:05:02.000	302.00	00:05:05.000	305.00	00:05:05.000	305.00	detection
16	00:05:29.000	329.00	00:05:34.000	334.00	00:05:34.000	334.00	detection
17	00:05:39.000	339.00	00:05:59.000	359.00	00:05:59.000	359.00	detection
18	00:06:00.000	360.00	00:06:36.000	396.00	00:06:36.000	396.00	detection
19	00:06:42.000	402.00	00:06:47.000	407.00	00:06:47.000	407.00	detection
20	00:06:56.000	416.00	00:06:58.000	418.00	00:06:58.000	418.00	detection
21	00:07:02.000	422.00	00:07:05.000	425.00	00:07:05.000	425.00	detection
22	00:07:29.000	449.00	00:07:34.000	454.00	00:07:34.000	454.00	detection
23	00:07:39.000	459.00	00:07:59.000	479.00	00:07:59.000	479.00	detection
24	00:08:00.000	480.00	00:08:36.000	516.00	00:08:36.000	516.00	detection
25	00:08:42.000	522.00	00:08:47.000	527.00	00:08:47.000	527.00	detection
26	00:08:56.000	536.00	00:08:58.000	538.00	00:08:58.000	538.00	detection
27	00:09:02.000	542.00	00:09:05.000	545.00	00:09:05.000	545.00	detection
28	00:09:29.000	569.00	00:09:34.000	574.00	00:09:34.000	574.00	detection
29	00:09:39.000	579.00	00:09:59.000	599.00	00:09:59.000	599.00	detection
30	00:10:00.000	600.00	00:10:36.000	636.00	00:10:36.000	636.00	detection
31	00:10:42.000	642.00	00:10:47.000	647.00	00:10:47.000	647.00	detection
32	00:10:56.000	656.00	00:10:58.000	658.00	00:10:58.000	658.00	detection
33	00:11:02.000	662.00	00:11:05.000	665.00	00:11:05.000	665.00	detection
34	00:11:29.000	689.00	00:11:34.000	694.00	00:11:34.000	694.00	detection
35	00:11:39.000	699.00	00:11:59.000	719.00	00:11:59.000	719.00	detection
36	00:12:00.000	720.00	00:12:36.000	756.00	00:12:36.000	756.00	detection
37	00:12:42.000	762.00	00:12:47.000	767.00	00:12:47.000	767.00	detection
38	00:12:56.000	776.00	00:12:58.000	778.00	00:12:58.000	778.00	detection
